ECO ID,Ecoregion name,Threshold,Ecoregion baseline,Target (10% above threshold),Threshold exceedance,Difference between baseline and target,Threshold met or exceeded? (Y/N)
88,Albany thickets,0.9,1,0.81,0.1,0.19,Yes
89,Fynbos shrubland,7.5,0.6,6.75,-6.9,-6.15,No
90,Renosterveld shrubland,0.6,0.6,0.54,0,0.06,Yes
92,Djibouti xeric shrublands,5,6.5,4.5,1.5,2,Yes
93,Eritrean coastal desert,5,5.5,4.5,0.5,1,Yes
94,Gariep Karoo,5,1.4,4.5,-3.6,-3.1,No
95,Hobyo grasslands and shrublands,3,3.2,2.7,0.2,0.5,Yes
97,Kalahari xeric savanna,1.4,3,1.26,1.6,1.74,Yes
98,Kaokoveld desert,5,2.4,4.5,-2.6,-2.1,No
99,Madagascar spiny thickets,2.5,2.4,2.25,-0.1,0.15,No
100,Madagascar succulent woodlands,5,3.1,4.5,-1.9,-1.4,No
101,Nama Karoo shrublands,1.1,1,0.99,-0.1,0.01,No
102,Namaqualand-Richtersveld steppe,5,0.8,4.5,-4.2,-3.7,No
103,Namib Desert,5,1.6,4.5,-3.4,-2.9,No
104,Namibian savanna woodlands,5,2.8,4.5,-2.2,-1.7,No
105,Socotra Island xeric shrublands,5,4.5,4.5,-0.5,0,No
106,Somali montane xeric woodlands,5,3.3,4.5,-1.7,-1.2,No
107,Southwest Arabian coastal xeric shrublands,5,7.6,4.5,2.6,3.1,Yes
108,Southwest Arabian Escarpment shrublands and woodlands,5,6.2,4.5,1.2,1.7,Yes
109,Southwest Arabian highland xeric scrub,5,7.3,4.5,2.3,2.8,Yes
110,Succulent Karoo xeric shrublands,5,0.6,4.5,-4.4,-3.9,No
111,Central African mangroves,16.1,14.3,14.49,-1.8,-0.19,No
112,East African mangroves,2.7,NA,2.43,#VALUE!,#VALUE!,NoA
113,Guinean mangroves,20,6.7,18,-13.3,-11.3,No
114,Madagascar mangroves,2.9,NA,2.61,#VALUE!,#VALUE!,NoA
135,Admiralty Islands lowland rain forests,20,1.2,18,-18.8,-16.8,No
136,Banda Sea Islands moist deciduous forests,20,2.1,18,-17.9,-15.9,No
137,Biak-Numfoor rain forests,20,1.7,18,-18.3,-16.3,No
138,Buru rain forests,20,2,18,-18,-16,No
139,Central Range Papuan montane rain forests,3.5,3.8,3.15,0.3,0.65,Yes
140,Halmahera rain forests,1.8,1.8,1.62,0,0.18,Yes
141,Huon Peninsula montane rain forests,20,4.3,18,-15.7,-13.7,No
143,Louisiade Archipelago rain forests,20,1.5,18,-18.5,-16.5,No
144,New Britain-New Ireland lowland rain forests,1.5,1.4,1.35,-0.1,0.05,No
145,New Britain-New Ireland montane rain forests,20,1.4,18,-18.6,-16.6,No
146,New Caledonia rain forests,20,0.8,18,-19.2,-17.2,No
148,Northern New Guinea lowland rain and freshwater swamp forests,2.2,2.9,1.98,0.7,0.92,Yes
149,Northern New Guinea montane rain forests,2.3,3.8,2.07,1.5,1.73,Yes
150,Queensland tropical rain forests,20,3,18,-17,-15,No
151,Seram rain forests,1.9,1.9,1.71,0,0.19,Yes
152,Solomon Islands rain forests,20,1.3,18,-18.7,-16.7,No
153,Southeast Papuan rain forests,3.5,3.4,3.15,-0.1,0.25,No
154,Southern New Guinea freshwater swamp forests,20,3.9,18,-16.1,-14.1,No
155,Southern New Guinea lowland rain forests,3.8,4.3,3.42,0.5,0.88,Yes
156,Sulawesi lowland rain forests,20,8.5,18,-11.5,-9.5,No
157,Sulawesi montane rain forests,20,10.3,18,-9.7,-7.7,No
158,Trobriand Islands rain forests,20,1.6,18,-18.4,-16.4,No
159,Vanuatu rain forests,20,1,18,-19,-17,No
160,Vogelkop montane rain forests,1.9,1.9,1.71,0,0.19,Yes
161,Vogelkop-Aru lowland rain forests,2.1,2,1.89,-0.1,0.11,No
162,Yapen rain forests,20,NA,18,#VALUE!,#VALUE!,NoA
163,Lesser Sundas deciduous forests,20,6.7,18,-13.3,-11.3,No
164,New Caledonia dry forests,20,0.8,18,-19.2,-17.2,No
165,Sumba deciduous forests,7.4,6.4,6.66,-1,-0.26,No
166,Timor and Wetar deciduous forests,4.8,6.2,4.32,1.4,1.88,Yes
168,Eastern Australian temperate forests,5.4,4.7,4.86,-0.7,-0.16,No
169,Fiordland temperate forests,1.6,1.7,1.44,0.1,0.26,Yes
170,Nelson Coast temperate forests,2.8,2.8,2.52,0,0.28,Yes
171,New Zealand North Island temperate forests,3.7,3.5,3.33,-0.2,0.17,No
172,New Zealand South Island temperate forests,12.5,1.9,11.25,-10.6,-9.35,No
173,Northland temperate kauri forests,3.1,2.7,2.79,-0.4,-0.09,No
174,Rakiura Island temperate forests,12.5,1.5,11.25,-11,-9.75,No
175,Richmond temperate forests,2.9,2.9,2.61,0,0.29,Yes
176,Southeast Australia temperate forests,12.5,4.9,11.25,-7.6,-6.35,No
177,Tasmanian Central Highland forests,12.5,2,11.25,-10.5,-9.25,No
178,Tasmanian temperate forests,12.5,2.1,11.25,-10.4,-9.15,No
179,Tasmanian temperate rain forests,12.5,2,11.25,-10.5,-9.25,No
180,Westland temperate forests,12.5,NA,11.25,#VALUE!,#VALUE!,NoA
181,Arnhem Land tropical savanna,15,2.9,13.5,-12.1,-10.6,No
182,Brigalow tropical savanna,15,4.4,13.5,-10.6,-9.1,No
183,Cape York Peninsula tropical savanna,15,2.2,13.5,-12.8,-11.3,No
184,Carpentaria tropical savanna,15,3.1,13.5,-11.9,-10.4,No
185,Einasleigh upland savanna,2.9,3.2,2.61,0.3,0.59,Yes
186,Kimberly tropical savanna,3.8,3.4,3.42,-0.4,-0.02,No
187,Mitchell Grass Downs,2.7,3.1,2.43,0.4,0.67,Yes
188,Trans Fly savanna and grasslands,2.9,3.9,2.61,1,1.29,Yes
189,Victoria Plains tropical savanna,3.5,3.6,3.15,0.1,0.45,Yes
190,Canterbury-Otago tussock grasslands,2.4,2.8,2.16,0.4,0.64,Yes
191,Eastern Australia mulga shrublands,2.9,3.7,2.61,0.8,1.09,Yes
192,Southeast Australia temperate savanna,5.3,4.9,4.77,-0.4,0.13,No
193,Australian Alps montane grasslands,4.6,5,4.14,0.4,0.86,Yes
194,New Zealand South Island montane grasslands,10,2.8,9,-7.2,-6.2,No
195,Papuan Central Range sub-alpine grasslands,10,3.3,9,-6.7,-5.7,No
197,Coolgardie woodlands,1,1.2,0.9,0.2,0.3,Yes
198,Esperance mallee,1.3,1.2,1.17,-0.1,0.03,No
199,Eyre and York mallee,1.7,2,1.53,0.3,0.47,Yes
200,Flinders-Lofty montane woodlands,7.5,2.5,6.75,-5,-4.25,No
201,Hampton mallee and woodlands,7.5,0.9,6.75,-6.6,-5.85,No
202,Jarrah-Karri forest and shrublands,1.3,1.3,1.17,0,0.13,Yes
203,Murray-Darling woodlands and mallee,2.8,3.4,2.52,0.6,0.88,Yes
204,Naracoorte woodlands,7.5,2.6,6.75,-4.9,-4.15,No
205,Southwest Australia savanna,1.4,1.6,1.26,0.2,0.34,Yes
206,Southwest Australia woodlands,1.7,1.6,1.53,-0.1,0.07,No
207,Carnarvon xeric shrublands,5,1.3,4.5,-3.7,-3.2,No
208,Central Ranges xeric scrub,5,1.9,4.5,-3.1,-2.6,No
209,Gibson desert,1.4,1.7,1.26,0.3,0.44,Yes
210,Great Sandy-Tanami desert,2.6,2.4,2.34,-0.2,0.06,No
211,Great Victoria desert,5,1.3,4.5,-3.7,-3.2,No
212,Nullarbor Plains xeric shrublands,5,1.1,4.5,-3.9,-3.4,No
213,Pilbara shrublands,5,1.8,4.5,-3.2,-2.7,No
214,Simpson desert,5,2.2,4.5,-2.8,-2.3,No
215,Tirari-Sturt stony desert,5,1.9,4.5,-3.1,-2.6,No
216,Western Australian Mulga shrublands,1.5,1.4,1.35,-0.1,0.05,No
217,New Guinea mangroves,20,3.2,18,-16.8,-14.8,No
218,Andaman Islands rain forests,7,7.2,6.3,0.2,0.9,Yes
219,Borneo lowland rain forests,6.8,12.2,6.12,5.4,6.08,Yes
220,Borneo montane rain forests,8.4,10.2,7.56,1.8,2.64,Yes
221,Borneo peat swamp forests,20,14.2,18,-5.8,-3.8,No
222,Brahmaputra Valley semi-evergreen forests,19.1,24.3,17.19,5.2,7.11,Yes
223,Cardamom Mountains rain forests,20,15.7,18,-4.3,-2.3,No
224,Chao Phraya freshwater swamp forests,20,21.5,18,1.5,3.5,Yes
225,Chao Phraya lowland moist deciduous forests,16.8,17,15.12,0.2,1.88,Yes
226,Chin Hills-Arakan Yoma montane forests,18.4,19.8,16.56,1.4,3.24,Yes
228,East Deccan moist deciduous forests,20,31.6,18,11.6,13.6,Yes
