ADM0_NAME,value,metric,flow_name
Ethiopia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Europa Island,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Falkland Islands (Malvinas),,cf_mean,Broadleaf_Deciduous_Boreal_dry
Faroe Islands,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Fiji,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Finland,0.007543084571343564,cf_mean,Broadleaf_Deciduous_Boreal_dry
France,,cf_mean,Broadleaf_Deciduous_Boreal_dry
French Guiana,,cf_mean,Broadleaf_Deciduous_Boreal_dry
French Polynesia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
French Southern and Antarctic Territories,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Gabon,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Gambia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Gaza Strip,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Georgia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Germany,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Ghana,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Gibraltar,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Glorioso Island,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Greece,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Greenland,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Grenada,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Guadeloupe,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Guam,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Guatemala,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Guernsey,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Guinea,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Guinea-Bissau,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Guyana,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Haiti,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Hala'ib triangle,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Heard Island and McDonald Islands,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Holy See,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Honduras,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Hong Kong,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Howland Island,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Hungary,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Iceland,0.19106931438055075,cf_mean,Broadleaf_Deciduous_Boreal_dry
Ilemi triangle,,cf_mean,Broadleaf_Deciduous_Boreal_dry
India,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Indonesia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Iran  (Islamic Republic of),,cf_mean,Broadleaf_Deciduous_Boreal_dry
Iraq,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Ireland,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Isle of Man,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Israel,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Italy,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Jamaica,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Jammu and Kashmir,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Japan,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Jarvis Island,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Jersey,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Johnston Atoll,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Jordan,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Juan de Nova Island,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Kazakhstan,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Kenya,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Kingman Reef,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Kiribati,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Kuril islands,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Kuwait,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Kyrgyzstan,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Lao People's Democratic Republic,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Latvia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Lebanon,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Lesotho,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Liberia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Libya,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Liechtenstein,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Lithuania,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Luxembourg,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Ma'tan al-Sarra,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Macau,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Madagascar,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Madeira Islands,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Malawi,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Malaysia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Maldives,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Mali,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Malta,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Marshall Islands,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Martinique,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Mauritania,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Mauritius,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Mayotte,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Mexico,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Micronesia (Federated States of),,cf_mean,Broadleaf_Deciduous_Boreal_dry
Midway Island,,cf_mean,Broadleaf_Deciduous_Boreal_dry
"Moldova, Republic of",,cf_mean,Broadleaf_Deciduous_Boreal_dry
Monaco,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Mongolia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Montenegro,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Montserrat,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Morocco,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Mozambique,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Myanmar,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Namibia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Nauru,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Navassa Island,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Nepal,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Netherlands,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Netherlands Antilles,,cf_mean,Broadleaf_Deciduous_Boreal_dry
New Caledonia,,cf_mean,Broadleaf_Deciduous_Boreal_dry
New Zealand,,cf_mean,Broadleaf_Deciduous_Boreal_dry
Nicaragua,,cf_mean,Broadleaf_Deciduous_Boreal_dry
